"uid","plotID","subplotID","nestedSubplotID","nestedSubplotArea","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
1,"TALL_005",40,1,10,"EUPU7","AS","D08KMH18","D08CJS21","No transcription errors found"
2,"TALL_005",40,1,10,"COMA6",,"D08KMH18","D08CJS21",
3,"TALL_005",40,1,10,"EURO4",,"D08KMH18","D08CJS21",
4,"TALL_005",40,1,10,"LIST2",,"D08KMH18","D08CJS21","No transcription errors found"
5,"TALL_005",40,1,10,"VIRO2",,"D08KMH18","D08CJS21",
6,"TALL_005",40,1,10,"AEPA",,"D08KMH18","D08CJS21",
7,"TALL_005",40,1,10,"PAQU2",,"D08KMH18","D08CJS21",
8,"TALL_005",40,1,10,"EUPU7",,"D08KMH18","D08CJS21",
9,"TALL_005",40,1,10,"SCTR",,"D08KMH18","D08CJS21",
10,"TALL_005",40,1,10,"TRUR2",,"D08KMH18","D08CJS21",
11,"TALL_005",40,1,10,"Galium spp.","CS","D08KMH18","D08CJS21",
12,"TALL_005",40,1,10,"DERO3",,"D08KMH18","D08CJS21",
13,"TALL_005",40,1,10,"furry basal dogwood","UNK","D08KMH18","D08CJS21",
14,"TALL_005",40,1,10,"QUMA3","CS","D08KMH19","D08CJS22",
15,"TALL_005",40,1,10,"ACRU",,"D08KMH18","D08CJS21","No transcription errors found"
16,"TALL_005",40,1,10,"LEBI2","CS","D08KMH18","D08CJS21",
17,"TALL_005",40,3,10,"PAQU2",,"D08KMH18","D08CJS21",
18,"TALL_005",40,3,10,"Galium spp.","CS","D08KMH18","D08CJS21",
19,"TALL_005",40,3,10,"QUMA3","CS","D08KMH18","D08CJS21",
20,"TALL_005",40,3,10,"SCIN2",,"D08KMH18","D08CJS21",
21,"TALL_005",40,3,10,"CATO6",,"D08KMH18","D08CJS21","No transcription errors found"
22,"TALL_005",40,3,10,"ARSE3","AS","D08KMH18","D08CJS21",
23,"TALL_005",40,3,10,"alternate dark green fuzzy","UNK","D08KMH18","D08CJS21",
24,"TALL_005",40,3,10,"RUCA4",,"D08KMH18","D08CJS21",
25,"TALL_005",40,3,10,"TRUR2",,"D08KMH18","D08CJS21","No transcription errors found"
26,"TALL_005",40,3,10,"longifolium","UNK","D08KMH18","D08CJS21",
27,"TALL_005",40,3,10,"DERO3",,"D08KMH18","D08CJS21",
