"uid","plotID","subplotID","nestedSubplotID","nestedSubplotArea","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
2,"ONAQ_019",32,2,10,"PSSP6","cf. species","D15WDS27","D15RAS17",
3,"ONAQ_019",32,2,10,"IPCO5",,"D15WDS27","D15RAS17",
4,"ONAQ_019",32,2,10,"ACHY",,"D15WDS27","D15RAS17",
5,"ONAQ_019",32,2,10,"ELEL5",,"D15WDS27","D15RAS17",
6,"ONAQ_019",32,2,10,"POSE",,"D15WDS27","D15RAS17",
7,"ONAQ_019",32,2,10,"ARTR2",,"D15WDS27","D15RAS17",
8,"ONAQ_019",32,2,10,"ATCO",,"D15WDS27","D15RAS17",
9,"ONAQ_019",32,2,10,"BRTE",,"D15WDS27","D15RAS17",
10,"ONAQ_019",32,4,10,"CETE5",,"D15WDS27","D15RAS17",
11,"ONAQ_019",32,4,10,"BRTE",,"D15WDS27","D15RAS17",
12,"ONAQ_019",32,4,10,"OPUNT",,"D15WDS27","D15RAS17",
13,"ONAQ_019",40,1,10,"POSE",,"D15RAS17","D15WDS27",
14,"ONAQ_019",40,1,10,"ATCO",,"D15RAS17","D15WDS27",
15,"ONAQ_019",40,1,10,"BRTE",,"D15RAS17","D15WDS27",
16,"ONAQ_019",40,3,10,"POBU",,"D15RAS17","D15WDS27",
17,"ONAQ_019",40,3,10,"ATCO",,"D15RAS17","D15WDS27",
18,"ONAQ_019",41,4,10,,"UNK","D15RAS17","D15MSG14","SEMI-SUCCULENT MINT HAIR FORB"
19,"ONAQ_019",41,4,10,"ATCO",,"D15RAS17","D15MSG14",
20,"ONAQ_019",41,4,10,"BRTE",,"D15RAS17","D15MSG14",
21,"ONAQ_007",41,1,10,"ARTR2",,"D15RAS27","D15MSG14",
22,"ONAQ_007",41,1,10,"ACHY",,"D15RAS27","D15MSG14",
23,"ONAQ_007",41,1,10,"PHHO",,"D15RAS27","D15MSG14",
24,"ONAQ_007",41,4,10,"JUOS",,"D15RAS27","D15MSG14",
25,"ONAQ_007",41,4,10,"OPUNT",,"D15RAS27","D15MSG14",
26,"ONAQ_007",41,4,10,"ELEL5",,"D15RAS27","D15MSG14",
27,"ONAQ_007",41,4,10,"DESCU",,"D15RAS27","D15MSG14",
28,"ONAQ_007",41,4,10,"IPCO5",,"D15RAS27","D15MSG14",
29,"ONAQ_007",40,1,10,"ARTR2",,"D15RAS27","D15MSG14",
30,"ONAQ_007",40,1,10,"LIPU11",,"D15RAS27","D15MSG14",
31,"ONAQ_007",40,1,10,"PHHO",,"D15RAS27","D15MSG14",
32,"ONAQ_007",32,2,10,"ACHY",,"D15RAS17","D15WDS27",
33,"ONAQ_007",32,2,10,"PHHO",,"D15WDS27","D15RAS17",
34,"ONAQ_007",32,2,10,"ATCO",,"D15RAS27","D15MSG14",
35,"ONAQ_007",32,2,10,"ELEL5",,"D15RAS27","D15MSG14",
36,"ONAQ_007",32,4,10,"ARTR2",,"D15RAS27","D15MSG14",
37,"ONAQ_007",32,4,10,,"UNK","D15RAS27","D15MSG14","FUZZY LANCEOLATE DAISY"
38,"ONAQ_007",32,4,10,"PHHO",,"D15RAS27","D15MSG14",
39,"ONAQ_007",32,4,10,"CAAN7",,"D15RAS27","D15MSG14",
40,"ONAQ_007",32,4,10,"GUTIE","cf. genus","D15RAS27","D15MSG14",
41,"ONAQ_007",32,4,10,"ALDE",,"D15RAS27","D15MSG14",
42,"ONAQ_007",32,4,10,"ELEL5",,"D15RAS27","D15MSG14",
43,"ONAQ_007",31,1,10,"GUTIE",,"D15RAS27","D15MSG14",
44,"ONAQ_007",31,1,10,"ATCO",,"D15RAS27","D15MSG14",
45,"ONAQ_007",31,1,10,"ACHY",,"D15RAS17","D15WDS27",
46,"ONAQ_007",31,1,10,"ARTR2",,"D15WDS27","D15RAS17",
47,"ONAQ_007",31,1,10,"BRTE",,"D15RAS27","D15MSG14",
48,"ONAQ_007",31,4,10,"ARTR2",,"D15RAS27","D15MSG14",
49,"ONAQ_007",31,4,10,"PHHO",,"D15RAS27","D15MSG14",
50,"ONAQ_007",40,3,10,"JUOS",,"D15RAS27","D15MSG14",
51,"ONAQ_007",40,3,10,"LIPU11",,"D15RAS27","D15MSG14",
52,"ONAQ_007",40,3,10,"GUTIE",,"D15RAS27","D15MSG14",
53,"ONAQ_007",40,3,10,"IPCO5",,"D15RAS27","D15MSG14",
54,"ONAQ_007",40,3,10,"ARTR2",,"D15RAS27","D15MSG14",
55,"ONAQ_007",40,3,10,"ATCO",,"D15RAS27","D15MSG14",
56,"ONAQ_019",40,3,10,"BRTE",,"D15RAS17","D15WDS27",
57,"ONAQ_019",40,3,10,"POBU",,"D15RAS17","D15WDS27",
58,"ONAQ_019",41,1,10,"OPUNT",,"D15RAS17","D15MSG14",
59,"ONAQ_019",41,1,10,"ATCO",,"D15RAS17","D15MSG14",
60,"ONAQ_019",31,1,10,"ARTR2",,"D15RAS17","D15WDS27",
61,"ONAQ_019",31,1,10,"GUTIE","cf. genus","D15RAS17","D15WDS27",
62,"ONAQ_019",31,4,10,"BRTE",,"D15RAS17","D15WDS27",
63,"ONAQ_019",31,4,10,"ATCO",,"D15RAS17","D15WDS27",
